planes,sats_per_plane,inclination_deg,phase_factor,raan0_deg,phase0_deg,total_satellites,screen_score,min_multiplicity,spacetime_single_ratio,min_point_single_availability,spacetime_double_ratio,min_point_double_availability,max_gap_s,worst_time_index,worst_time_single_ratio,average_multiplicity,min_margin_deg,evaluation
35,35,55.0,0,0.0,0.0,1225,1.1813697916666666,0,0.9545047832119481,0.7847222222222222,0.717296314715789,0.4027777777777778,1200.0,50,0.9025973534303249,2.1580300938377324,-4.36446872665254,coarse_3deg_600s
28,44,55.0,1,0.0,0.0,1232,1.160726875,0,0.9636733074629813,0.7847222222222222,0.6995191739906357,0.3263888888888889,1200.0,139,0.9429555272817015,2.1721575080846227,-4.36446872665254,coarse_3deg_600s
40,32,55.0,10,0.0,0.0,1280,1.1635020833333334,0,0.9581757401521869,0.7847222222222222,0.6824062003105213,0.4097222222222222,1200.0,57,0.9191603240793184,2.254413236530526,-4.36446872665254,coarse_3deg_600s
30,39,58.0,1,0.0,0.0,1170,1.1323104166666667,0,0.9381906592304321,0.7777777777777778,0.6278617482507447,0.2708333333333333,1800.0,124,0.8879590772289239,1.8089130604243637,-4.36446872665254,coarse_3deg_600s
30,40,58.0,0,0.0,0.0,1200,1.14034375,0,0.945403564544739,0.7777777777777778,0.6582335872121595,0.3263888888888889,1800.0,45,0.8552956950546948,1.858756095376665,-4.36446872665254,coarse_3deg_600s
28,43,55.0,1,0.0,0.0,1204,1.1516318749999999,0,0.9609177886147084,0.7777777777777778,0.6855917860545118,0.3472222222222222,1800.0,8,0.9425600186800734,2.118093626278651,-4.36446872665254,coarse_3deg_600s
35,35,52.0,0,0.0,0.0,1225,1.2368385416666667,0,0.960215512938495,0.7777777777777778,0.7499201348094361,0.4444444444444444,1200.0,17,0.9182890789271558,2.25919082086946,-4.36446872665254,coarse_3deg_600s
30,42,58.0,29,0.0,0.0,1260,1.1605770833333333,0,0.961880965127233,0.7777777777777778,0.694959763401292,0.375,1200.0,9,0.9322498309155332,1.9484413317952023,-4.36446872665254,coarse_3deg_600s
28,45,55.0,1,0.0,0.0,1260,1.1595354166666667,0,0.956909406569936,0.7777777777777778,0.7198079998701747,0.375,1800.0,75,0.937883268887949,2.2191240925029416,-4.36446872665254,coarse_3deg_600s
28,45,58.0,0,0.0,0.0,1260,1.1501604166666668,0,0.9493515875154183,0.7777777777777778,0.6812833030996663,0.3263888888888889,1200.0,20,0.9125779299568713,1.949330041342829,-4.36446872665254,coarse_3deg_600s
39,33,52.0,29,0.0,0.0,1287,1.1690310416666667,0,0.9631516101444948,0.7777777777777778,0.7407030587056372,0.4652777777777778,600.0,9,0.9438374514841579,2.373427792924136,-4.36446872665254,coarse_3deg_600s
28,42,58.0,7,0.0,0.0,1176,1.1396722916666666,0,0.9439831585213615,0.7708333333333334,0.6238184447783782,0.2847222222222222,1200.0,80,0.923666175908229,1.8184106678419865,-4.36446872665254,coarse_3deg_600s
30,40,60.0,0,0.0,0.0,1200,1.1369583333333333,0,0.9430872891292444,0.7708333333333334,0.627271773316772,0.2847222222222222,3000.0,45,0.8638158805030657,1.741419977892183,-4.36446872665254,coarse_3deg_600s
34,36,60.0,25,0.0,0.0,1224,1.1351558333333334,0,0.9456288689553397,0.7708333333333334,0.6193692067778191,0.2847222222222222,1200.0,54,0.9209583065374672,1.7741228748028375,-4.36446872665254,coarse_3deg_600s
30,41,58.0,29,0.0,0.0,1230,1.1500697916666667,0,0.9504381511247763,0.7708333333333334,0.6807433535014934,0.3194444444444444,1800.0,118,0.8894835483374264,1.9026652188265976,-4.36446872665254,coarse_3deg_600s
30,41,60.0,29,0.0,0.0,1230,1.146684375,0,0.9522345181775308,0.7708333333333334,0.6494254842072414,0.2777777777777778,1800.0,69,0.9083277983939588,1.7817143231116137,-4.36446872665254,coarse_3deg_600s
39,32,52.0,9,0.0,0.0,1248,1.1698116666666667,0,0.9637739853126723,0.7708333333333334,0.6981777396375644,0.4236111111111111,1800.0,29,0.9428756217950081,2.3002533633989444,-4.36446872665254,coarse_3deg_600s
